"2016-11-16 06:23:06,453",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 06:24:41,155",8,8,150,4,40,40,True,32,32,200,7,29
"2016-11-16 06:26:21,174",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:27:53,761",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 06:29:24,656",8,8,150,4,40,40,True,32,32,200,0,157
"2016-11-16 06:31:08,572",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:32:41,771",8,8,150,4,40,40,True,32,32,200,0,97
"2016-11-16 06:34:14,101",8,8,150,4,40,40,True,32,32,200,0,77
"2016-11-16 06:35:52,397",8,8,150,4,40,40,True,32,32,200,0,128
"2016-11-16 06:37:16,925",8,8,150,4,40,40,True,32,32,200,31,1
"2016-11-16 06:38:49,116",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:40:24,707",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 06:41:47,804",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 06:43:26,388",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:44:57,724",8,8,150,4,40,40,True,32,32,200,0,73
"2016-11-16 06:46:43,667",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:48:12,630",8,8,150,4,40,40,True,32,32,200,0,47
"2016-11-16 06:49:50,794",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:51:02,805",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 06:52:35,349",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:54:18,985",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:55:57,608",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:57:51,840",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 06:59:18,355",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:00:50,614",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:02:15,948",8,8,150,4,40,40,True,32,32,200,0,87
"2016-11-16 07:03:52,908",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:05:26,889",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:07:00,937",8,8,150,4,40,40,True,32,32,200,0,102
"2016-11-16 07:08:34,997",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:10:06,593",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 07:11:41,987",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:13:14,311",8,8,150,4,40,40,True,32,32,200,0,128
"2016-11-16 07:14:47,048",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:16:13,902",8,8,150,4,40,40,True,32,32,200,31,1
"2016-11-16 07:17:57,290",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 07:19:36,143",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:21:00,087",8,8,150,4,40,40,True,32,32,200,0,75
"2016-11-16 07:22:28,872",8,8,150,4,40,40,True,32,32,200,0,88
"2016-11-16 07:24:01,061",8,8,150,4,40,40,True,32,32,200,0,158
"2016-11-16 07:25:39,189",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:27:21,083",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:28:56,264",8,8,150,4,40,40,True,32,32,200,22,10
"2016-11-16 07:30:36,933",8,8,150,4,40,40,True,32,32,200,0,56
"2016-11-16 07:32:19,883",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:33:55,457",8,8,150,4,40,40,True,32,32,200,0,125
"2016-11-16 07:35:41,411",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:37:17,165",8,8,150,4,40,40,True,32,32,200,0,33
"2016-11-16 07:38:47,679",8,8,150,4,40,40,True,32,32,200,13,19
"2016-11-16 07:40:13,647",8,8,150,4,40,40,True,32,32,200,0,156
"2016-11-16 07:41:38,402",8,8,150,4,40,40,True,32,32,200,7,35
"2016-11-16 07:43:12,501",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:44:50,590",8,8,150,4,40,40,True,32,32,200,0,102
"2016-11-16 07:46:25,189",8,8,150,4,40,40,True,32,32,200,0,156
"2016-11-16 07:47:54,061",8,8,150,4,40,40,True,32,32,200,0,157
"2016-11-16 07:49:30,085",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:50:55,647",8,8,150,4,40,40,True,32,32,200,0,156
"2016-11-16 07:52:38,759",8,8,150,4,40,40,True,32,32,200,0,146
"2016-11-16 07:54:20,996",8,8,150,4,40,40,True,32,32,200,4,44
"2016-11-16 07:55:55,476",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:57:32,850",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 07:59:02,644",8,8,150,4,40,40,True,32,32,200,0,110
"2016-11-16 08:00:31,637",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:02:00,160",8,8,150,4,40,40,True,32,32,200,32,0
